HOMICIDIOS EN COLOMBIA AÑO 2020 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Amazonas.9,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Antioquia.9,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,Arauca.9,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8","Archipiélago de San Andrés, Providencia y Santa Catalina.9",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,Atlántico.9,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8","Bogotá, D.C..9",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Bolívar.9,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Boyacá.9,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caldas.9,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Caquetá.9,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Casanare.9,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cauca.9,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Cesar.9,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Chocó.9,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Córdoba.9,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Cundinamarca.9,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guainía.9,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Guaviare.9,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,Huila.9,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,La Guajira.9,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Magdalena.9,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Meta.9,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Nariño.9,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Norte de Santander.9,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Putumayo.9,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Quindío.9,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Risaralda.9,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Santander.9,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Sucre.9,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Tolima.9,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Valle del Cauca.9,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vaupés.9,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Vichada.9,CIFRA
(25 a 29),-,1,1,-,-,-,-,-,-,1,-,307,307,-,28,28,-,1,1,336,-,13,13,-,3,3,-,-,-,16,-,8,8,-,-,-,-,-,-,8,-,113,113,-,9,9,-,-,-,122,-,188,188,-,12,12,-,-,-,200,-,68,68,-,4,4,-,-,-,72,-,8,8,-,-,-,-,-,-,8,-,29,29,-,3,3,-,-,-,32,-,26,26,-,4,4,-,-,-,30,-,13,13,-,1,1,-,-,-,14,-,135,135,-,7,7,-,-,-,142,-,36,36,-,1,1,-,-,-,37,-,45,45,-,2,2,-,-,-,47,-,35,35,-,5,5,-,-,-,40,-,65,65,-,7,7,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,31,31,-,2,2,-,-,-,33,-,27,27,-,1,1,-,-,-,28,-,58,58,-,4,4,-,-,-,62,-,41,41,-,1,1,-,-,-,42,-,70,70,-,4,4,-,-,-,74,-,129,129,-,7,7,-,-,-,136,-,25,25,-,3,3,-,-,-,28,-,34,34,-,3,3,-,-,-,37,-,33,33,-,2,2,-,-,-,35,-,46,46,-,3,3,-,-,-,49,-,23,23,-,-,-,-,-,-,23,-,28,28,-,5,5,-,-,-,33,-,354,354,-,22,22,-,-,-,376,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,2138
(30 a 34),-,1,1,-,1,1,-,-,-,2,-,260,260,-,17,17,-,-,-,277,-,12,12,-,-,-,-,-,-,12,-,9,9,-,-,-,-,-,-,9,-,77,77,-,2,2,-,-,-,79,-,147,147,-,10,10,-,-,-,157,-,70,70,-,2,2,-,-,-,72,-,10,10,-,-,-,-,-,-,10,-,13,13,-,-,-,-,-,-,13,-,18,18,-,-,-,-,-,-,18,-,3,3,-,2,2,-,-,-,5,-,113,113,-,10,10,-,-,-,123,-,32,32,-,6,6,-,-,-,38,-,38,38,-,3,3,-,-,-,41,-,30,30,-,5,5,-,-,-,35,-,45,45,-,3,3,-,-,-,48,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,27,27,-,3,3,-,-,-,30,-,35,35,-,-,-,-,-,-,35,-,38,38,-,3,3,-,-,-,41,-,27,27,-,-,-,-,-,-,27,-,33,33,-,10,10,-,-,-,43,-,106,106,-,2,2,-,-,-,108,-,24,24,-,1,1,-,-,-,25,-,22,22,-,1,1,-,-,-,23,-,31,31,-,2,2,-,-,-,33,-,40,40,-,4,4,-,-,-,44,-,17,17,-,-,-,-,-,-,17,-,30,30,-,-,-,-,-,-,30,-,268,268,-,12,12,-,-,-,280,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,1680
(35 a 39),-,1,1,-,-,-,-,-,-,1,-,167,167,-,11,11,-,-,-,178,-,9,9,-,-,-,-,-,-,9,-,4,4,-,-,-,-,-,-,4,-,52,52,-,2,2,-,-,-,54,-,127,127,-,5,5,-,-,-,132,-,42,42,-,6,6,-,-,-,48,-,10,10,-,2,2,-,-,-,12,-,15,15,-,1,1,-,-,-,16,-,21,21,-,-,-,-,-,-,21,-,8,8,-,1,1,-,-,-,9,-,80,80,-,5,5,-,-,-,85,-,24,24,-,1,1,-,-,-,25,-,19,19,-,2,2,-,-,-,21,-,34,34,-,3,3,-,-,-,37,-,27,27,-,10,10,-,-,-,37,-,1,1,-,-,-,-,-,-,1,-,2,2,-,1,1,-,-,-,3,-,14,14,-,1,1,-,-,-,15,-,16,16,-,1,1,-,-,-,17,-,32,32,-,5,5,-,-,-,37,-,28,28,-,8,8,-,-,-,36,-,35,35,-,2,2,-,-,-,37,-,45,45,-,4,4,-,-,-,49,-,14,14,-,6,6,-,-,-,20,-,10,10,-,1,1,-,-,-,11,-,17,17,-,1,1,-,-,-,18,-,22,22,-,2,2,-,-,-,24,-,18,18,-,2,2,-,-,-,20,-,18,18,-,-,-,-,-,-,18,-,184,184,-,16,16,-,-,-,200,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,1197
(40 a 44),-,3,3,-,-,-,-,-,-,3,-,124,124,-,10,10,-,-,-,134,-,8,8,-,1,1,-,-,-,9,-,2,2,-,-,-,-,-,-,2,-,33,33,-,5,5,-,-,-,38,-,65,65,-,12,12,-,-,-,77,-,33,33,-,3,3,-,-,-,36,-,9,9,-,2,2,-,-,-,11,-,9,9,-,2,2,-,-,-,11,-,8,8,-,2,2,-,-,-,10,-,2,2,-,1,1,-,-,-,3,-,52,52,-,6,6,-,-,-,58,-,14,14,-,1,1,-,-,-,15,-,9,9,-,-,-,-,-,-,9,-,18,18,-,1,1,-,-,-,19,-,19,19,-,1,1,-,-,-,20,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,19,19,-,2,2,-,-,-,21,-,18,18,-,1,1,-,-,-,19,-,19,19,-,1,1,-,-,-,20,-,20,20,-,3,3,-,-,-,23,-,30,30,-,1,1,-,-,-,31,-,36,36,-,2,2,-,-,-,38,-,13,13,-,-,-,-,-,-,13,-,7,7,-,-,-,-,-,-,7,-,22,22,-,1,1,-,-,-,23,-,19,19,-,3,3,-,-,-,22,-,6,6,-,1,1,-,-,-,7,-,13,13,-,1,1,-,-,-,14,-,117,117,-,7,7,-,-,-,124,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,1,821
(45 a 49),-,2,2,-,1,1,-,-,-,3,-,76,76,-,10,10,-,-,-,86,-,5,5,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,26,26,-,3,3,-,-,-,29,-,49,49,-,10,10,-,-,-,59,-,16,16,-,1,1,-,-,-,17,-,1,1,-,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,6,-,10,10,-,1,1,-,-,-,11,-,4,4,-,1,1,-,-,-,5,-,34,34,-,6,6,-,-,-,40,-,13,13,-,-,-,-,-,-,13,-,3,3,-,1,1,-,-,-,4,-,12,12,-,-,-,-,-,-,12,-,14,14,-,3,3,-,-,-,17,-,1,1,-,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,3,-,18,18,-,-,-,-,-,-,18,-,12,12,-,1,1,-,-,-,13,-,13,13,-,3,3,-,-,-,16,-,18,18,-,1,1,-,-,-,19,-,17,17,-,1,1,-,-,-,18,-,29,29,-,2,2,-,-,-,31,-,12,12,-,3,3,-,-,-,15,-,5,5,-,2,2,-,-,-,7,-,9,9,-,1,1,-,-,-,10,-,15,15,-,-,-,-,-,-,15,-,8,8,-,2,2,-,-,-,10,-,15,15,-,-,-,-,-,-,15,-,70,70,-,13,13,-,-,-,83,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,2,584
(50 a 54),-,-,-,-,-,-,-,-,-,-,-,65,65,-,5,5,-,-,-,70,-,3,3,-,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,21,21,-,1,1,-,-,-,22,-,36,36,-,3,3,-,-,-,39,-,17,17,-,2,2,-,-,-,19,-,5,5,-,1,1,-,-,-,6,-,8,8,-,2,2,-,-,-,10,-,7,7,-,-,-,-,-,-,7,-,5,5,-,-,-,-,-,-,5,-,24,24,-,5,5,-,-,-,29,-,14,14,-,1,1,-,-,-,15,-,5,5,-,1,1,-,-,-,6,-,15,15,-,3,3,-,-,-,18,-,13,13,-,1,1,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-,-,-,11,-,4,4,-,-,-,-,-,-,4,-,11,11,-,1,1,-,-,-,12,-,13,13,-,2,2,-,-,-,15,-,21,21,-,2,2,-,-,-,23,-,19,19,-,1,1,-,-,-,20,-,12,12,-,-,-,-,-,-,12,-,2,2,-,1,1,-,-,-,3,-,8,8,-,-,-,-,-,-,8,-,13,13,-,1,1,-,-,-,14,-,6,6,-,-,-,-,-,-,6,-,8,8,-,-,-,-,-,-,8,-,69,69,-,7,7,-,-,-,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,477
(55 a 59),-,-,-,-,-,-,-,-,-,-,-,52,52,-,3,3,-,-,-,55,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,12,12,-,-,-,-,-,-,12,-,31,31,-,-,-,-,-,-,31,-,8,8,-,-,-,-,-,-,8,-,3,3,-,-,-,-,-,-,3,-,4,4,-,-,-,-,-,-,4,-,8,8,-,1,1,-,-,-,9,-,1,1,-,-,-,-,-,-,1,-,20,20,-,2,2,-,-,-,22,-,5,5,-,-,-,-,-,-,5,-,5,5,-,-,-,-,-,-,5,-,7,7,-,-,-,-,-,-,7,-,11,11,-,1,1,-,-,-,12,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,9,9,-,1,1,-,-,-,10,-,6,6,-,1,1,-,-,-,7,-,6,6,-,1,1,-,-,-,7,-,10,10,-,1,1,-,-,-,11,-,5,5,-,-,-,-,-,-,5,-,12,12,-,3,3,-,-,-,15,-,7,7,-,-,-,-,-,-,7,-,3,3,-,1,1,-,-,-,4,-,8,8,-,-,-,-,-,-,8,-,7,7,-,1,1,-,-,-,8,-,8,8,-,1,1,-,-,-,9,-,16,16,-,3,3,-,-,-,19,-,67,67,-,7,7,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362
(60 a 64),-,1,1,-,-,-,-,-,-,1,-,33,33,-,2,2,-,-,-,35,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,5,-,9,9,-,3,3,-,-,-,12,-,9,9,-,2,2,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,9,9,-,1,1,-,-,-,10,-,3,3,-,-,-,-,-,-,3,-,5,5,-,-,-,-,-,-,5,-,9,9,-,2,2,-,-,-,11,-,7,7,-,1,1,-,-,-,8,-,2,2,-,-,-,-,-,-,2,-,6,6,-,1,1,-,-,-,7,-,5,5,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,-,-,-,-,-,-,11,-,5,5,-,-,-,-,-,-,5,-,10,10,-,1,1,-,-,-,11,-,2,2,-,-,-,-,-,-,2,-,8,8,-,2,2,-,-,-,10,-,15,15,-,1,1,-,-,-,16,-,1,1,-,-,-,-,-,-,1,-,3,3,-,2,2,-,-,-,5,-,10,10,-,-,-,-,-,-,10,-,7,7,-,1,1,-,-,-,8,-,5,5,-,-,-,-,-,-,5,-,10,10,-,1,1,-,-,-,11,-,40,40,-,1,1,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,255
(65 a 69),-,-,-,-,-,-,-,-,-,-,-,14,14,-,1,1,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,2,2,-,-,-,6,-,9,9,-,2,2,-,-,-,11,-,7,7,-,1,1,-,-,-,8,-,2,2,-,-,-,-,-,-,2,-,5,5,-,-,-,-,-,-,5,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,1,1,-,-,-,6,-,3,3,-,-,-,-,-,-,3,-,4,4,-,-,-,-,-,-,4,-,8,8,-,-,-,-,-,-,8,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,3,3,-,1,1,-,-,-,4,-,1,1,-,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,4,-,26,26,-,1,1,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132
(70 a 74),-,-,-,-,-,-,-,-,-,-,-,15,15,-,1,1,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,1,1,-,-,-,8,-,3,3,-,1,1,-,-,-,4,-,1,1,-,1,1,-,-,-,2,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,3,3,-,-,-,5,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-,1,-,4,4,-,1,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,3,3,-,2,2,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,9,9,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75
(75 a 79),-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,7,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,3,3,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,5,5,-,-,-,-,-,-,5,-,4,4,-,3,3,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37
(80 y más),-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,3,3,-,1,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,2,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,2,-,1,1,-,-,-,-,-,-,1,-,2,2,-,1,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31
TOTAL,-,11,11,-,2,2,-,-,-,13,96,1607,1703,17,119,136,-,1,1,1840,3,84,87,-,9,9,-,-,-,96,1,36,37,1,-,1,-,-,-,38,16,477,493,6,32,38,-,-,-,531,35,910,945,9,86,95,-,-,-,1040,18,368,386,3,25,28,-,-,-,414,3,66,69,1,8,9,-,-,-,78,8,132,140,-,10,10,-,-,-,150,1,131,132,-,9,9,1,-,1,142,6,70,76,3,7,10,-,-,-,86,35,640,675,10,55,65,-,-,-,740,7,192,199,5,14,19,-,-,-,218,12,183,195,3,12,15,-,-,-,210,6,213,219,1,21,22,-,-,-,241,24,282,306,2,32,34,-,-,-,340,-,4,4,-,1,1,-,-,-,5,-,17,17,-,1,1,-,-,-,18,15,203,218,4,17,21,-,-,-,239,7,169,176,2,8,10,-,-,-,186,6,257,263,1,23,24,-,-,-,287,11,239,250,2,24,26,-,-,-,276,15,322,337,4,31,35,-,-,-,372,9,549,558,3,35,38,-,-,-,596,9,131,140,2,15,17,-,-,-,157,5,144,149,1,14,15,-,-,-,164,5,191,196,1,10,11,-,-,-,207,11,253,264,3,25,28,-,-,-,292,5,117,122,-,9,9,-,-,-,131,11,190,201,1,14,15,-,-,-,216,102,1742,1844,8,134,142,-,-,-,1986,-,2,2,-,1,1,-,-,-,3,-,12,12,-,2,2,-,-,-,14,11326
VARIABLE: GRUPO EDAD JUDICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,3,-,3,-,-,-,5,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,2,-,-,-,4,3,-,3,3,-,3,-,-,-,6,1,-,1,2,-,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,1,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2,2,-,2,-,-,-,-,-,-,2,1,-,1,-,-,-,-,-,-,1,-,-,-,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,3,-,3,-,-,-,3,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44
(05 a 09),-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,3,-,-,-,1,-,1,-,-,-,1,-,-,-,1,-,1,-,-,-,1,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
(10 a 13),-,-,-,-,-,-,-,-,-,-,7,-,7,1,-,1,-,-,-,8,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,2,-,2,-,-,-,-,-,-,2,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,2,2,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30
