EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN COLOMBIA AÑO 2021 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,Sin información.7,Sin información.8,CIFRA
(25 a 29),-,-,-,-,-,1,-,1,1,-,7,-,7,-,85,-,85,92,-,1,-,1,-,7,-,7,8,-,-,-,-,-,1,-,1,1,-,1,-,1,-,28,-,28,29,-,16,-,16,-,116,-,116,132,-,2,-,2,-,22,-,22,24,-,2,-,2,-,21,-,21,23,-,2,-,2,-,10,-,10,12,-,-,-,-,-,9,-,9,9,-,-,-,-,-,14,-,14,14,-,1,-,1,-,16,-,16,17,-,4,-,4,-,21,-,21,25,-,-,-,-,-,3,-,3,3,-,-,-,-,-,14,-,14,14,-,2,-,2,-,46,-,46,48,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,2,-,2,-,29,-,29,31,-,1,-,1,-,13,-,13,14,-,-,-,-,-,10,-,10,10,-,-,-,-,-,17,-,17,17,-,1,-,1,-,7,-,7,8,-,3,-,3,-,9,-,9,12,-,-,-,-,-,2,-,2,2,-,2,-,2,-,11,-,11,13,-,1,-,1,-,27,-,27,28,-,4,-,4,-,27,-,27,31,-,-,-,-,-,9,-,9,9,-,3,-,3,-,33,-,33,36,-,2,-,2,-,58,-,58,60,-,-,-,-,-,3,-,3,3,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,729
(30 a 34),-,-,-,-,-,1,-,1,1,-,6,-,6,-,56,-,56,62,-,-,-,-,-,2,-,2,2,-,-,-,-,-,3,-,3,3,-,1,-,1,-,17,-,17,18,-,6,-,6,-,88,-,88,94,-,1,-,1,-,10,-,10,11,-,1,-,1,-,13,-,13,14,-,1,-,1,-,9,-,9,10,-,1,-,1,-,6,-,6,7,-,-,-,-,-,9,-,9,9,-,-,-,-,-,11,-,11,11,-,-,-,-,-,7,-,7,7,-,1,-,1,-,6,-,6,7,-,-,-,-,-,7,-,7,7,-,3,-,3,-,29,-,29,32,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,2,-,2,-,10,-,10,12,-,-,-,-,-,4,-,4,4,-,-,-,-,-,7,-,7,7,-,2,-,2,-,14,-,14,16,-,-,-,-,-,3,-,3,3,-,1,-,1,-,12,-,12,13,-,1,-,1,-,2,-,2,3,-,2,-,2,-,3,-,3,5,-,-,-,-,-,7,-,7,7,-,4,-,4,-,17,-,17,21,-,-,-,-,-,4,-,4,4,-,1,-,1,-,14,-,14,15,-,1,-,1,-,37,-,37,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,446
(35 a 39),-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,-,38,38,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,7,-,7,8,-,2,-,2,-,65,-,65,67,-,-,-,-,-,15,-,15,15,-,2,-,2,-,15,-,15,17,-,2,-,2,-,5,-,5,7,-,-,-,-,-,6,-,6,6,-,1,-,1,-,8,-,8,9,-,-,-,-,-,9,-,9,9,-,-,-,-,-,8,-,8,8,-,1,-,1,-,2,-,2,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,21,-,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,3,-,3,-,11,-,11,14,-,-,-,-,-,5,-,5,5,-,-,-,-,-,8,-,8,8,-,-,-,-,-,10,-,10,10,-,-,-,-,-,7,-,7,7,-,-,-,-,-,15,-,15,15,-,-,-,-,-,5,-,5,5,-,-,-,-,-,4,-,4,4,-,1,-,1,-,8,-,8,9,-,2,-,2,-,19,-,19,21,-,1,-,1,-,4,-,4,5,-,3,-,3,-,23,-,23,26,-,2,-,2,-,31,-,31,33,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374
(40 a 44),-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,9,-,9,10,-,3,-,3,-,38,-,38,41,-,-,-,-,-,7,-,7,7,-,2,-,2,-,3,-,3,5,-,-,-,-,-,7,-,7,7,-,-,-,-,-,2,-,2,2,-,1,-,1,-,1,-,1,2,-,-,-,-,-,6,-,6,6,-,-,-,-,-,7,-,7,7,-,-,-,-,-,3,-,3,3,-,-,-,-,-,10,-,10,10,-,2,-,2,-,15,-,15,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,4,-,4,4,-,-,-,-,-,3,-,3,3,-,1,-,1,-,9,-,9,10,-,1,-,1,-,4,-,4,5,-,-,-,-,-,4,-,4,4,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,3,-,3,3,-,-,-,-,-,5,-,5,5,-,-,-,-,-,7,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,11,11,-,-,-,-,-,17,-,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212
(45 a 49),-,-,-,-,-,-,-,-,-,-,3,-,3,-,18,-,18,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,30,-,30,30,-,-,-,-,-,3,-,3,3,-,-,-,-,-,4,-,4,4,-,-,-,-,-,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,4,-,4,4,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,16,-,16,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,4,-,-,-,-,-,2,-,2,2,-,-,-,-,-,3,-,3,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,4,-,-,-,-,-,8,-,8,8,-,-,-,-,-,-,-,-,-,-,2,-,2,-,9,-,9,11,-,1,-,1,-,21,-,21,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,148
(50 a 54),-,-,-,-,-,1,-,1,1,-,1,-,1,-,5,-,5,6,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,5,-,5,5,-,1,-,1,-,16,-,16,17,-,-,-,-,-,2,-,2,2,-,1,-,1,-,1,-,1,2,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,3,-,3,3,-,-,-,-,-,4,-,4,4,-,-,-,-,-,2,-,2,2,-,1,-,1,-,2,-,2,3,-,1,-,1,-,3,-,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,4,-,4,4,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,1,-,1,-,1,-,1,2,-,-,-,-,-,3,-,3,3,-,-,-,-,-,5,-,5,5,-,-,-,-,-,1,-,1,1,-,1,-,1,-,6,-,6,7,-,-,-,-,-,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88
(55 a 59),-,-,-,-,-,1,-,1,1,-,1,-,1,-,8,-,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,1,-,12,-,12,13,-,-,-,-,-,4,-,4,4,-,-,-,-,-,5,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,1,-,2,-,2,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,5,5,-,-,-,-,-,3,-,3,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,6,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64
(60 a 64),-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,1,-,6,-,6,7,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26
(65 a 69),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,4,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
(70 a 74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,1,-,2,-,2,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
(75 a 79),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,2,-,2,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
(80 y más),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17
Sin información,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,2,2
TOTAL,12,1,-,13,58,6,-,64,77,322,32,-,354,1542,406,-,1948,2302,23,2,-,25,209,26,-,235,260,2,1,-,3,19,8,-,27,30,101,13,-,114,714,149,-,863,977,474,63,-,537,2861,786,-,3647,4184,80,6,-,86,572,113,-,685,771,49,10,-,59,423,143,-,566,625,70,12,-,82,340,78,-,418,500,30,3,-,33,269,61,-,330,363,41,6,-,47,300,64,-,364,411,24,6,-,30,257,100,-,357,387,45,7,-,52,351,90,-,441,493,7,3,-,10,92,29,-,121,131,47,11,-,58,487,76,-,563,621,203,18,-,221,1123,272,-,1395,1616,-,-,-,-,40,8,-,48,48,9,-,-,9,64,13,-,77,86,78,12,-,90,472,102,-,574,664,35,2,-,37,281,58,-,339,376,44,5,-,49,339,79,-,418,467,88,5,-,93,532,109,-,641,734,3,4,-,7,60,45,-,105,112,78,6,-,84,416,82,-,498,582,19,1,-,20,148,29,-,177,197,67,8,-,75,320,53,-,373,448,95,10,-,105,530,115,-,645,750,113,15,-,128,793,152,-,945,1073,32,3,-,35,262,38,-,300,335,128,23,-,151,829,221,-,1050,1201,180,17,-,197,1147,294,-,1441,1638,5,-,-,5,41,8,-,49,54,1,-,-,1,14,1,-,15,16,2,1,1,4,66,7,1,74,78,22607
VARIABLE: GRUPO EDAD JUDICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),3,-,-,3,5,-,-,5,8,71,-,-,71,202,-,-,202,273,6,-,-,6,21,-,-,21,27,1,-,-,1,2,-,-,2,3,21,-,-,21,87,-,-,87,108,84,-,-,84,241,-,-,241,325,11,-,-,11,30,-,-,30,41,9,-,-,9,30,-,-,30,39,9,-,-,9,34,-,-,34,43,4,-,-,4,16,-,-,16,20,9,-,-,9,35,-,-,35,44,5,-,-,5,22,-,-,22,27,12,-,-,12,24,-,-,24,36,-,-,-,-,16,-,-,16,16,3,-,-,3,25,-,-,25,28,32,-,-,32,84,-,-,84,116,-,-,-,-,2,-,-,2,2,3,-,-,3,7,-,-,7,10,13,-,-,13,32,-,-,32,45,5,-,-,5,14,-,-,14,19,6,-,-,6,18,-,-,18,24,8,-,-,8,49,-,-,49,57,1,-,-,1,4,-,-,4,5,10,-,-,10,30,-,-,30,40,2,-,-,2,12,-,-,12,14,16,-,-,16,33,-,-,33,49,16,-,-,16,52,-,-,52,68,16,-,-,16,75,-,-,75,91,4,-,-,4,15,-,-,15,19,25,-,-,25,47,-,-,47,72,26,-,-,26,141,-,-,141,167,1,-,-,1,2,-,-,2,3,1,-,-,1,2,-,-,2,3,1,-,-,1,1,-,-,1,2,1844
(05 a 09),3,-,-,3,14,-,-,14,17,129,-,-,129,332,-,-,332,461,5,-,-,5,49,-,-,49,54,1,-,-,1,2,-,-,2,3,32,-,-,32,170,-,-,170,202,153,-,-,153,479,-,-,479,632,39,-,-,39,119,-,-,119,158,21,-,-,21,89,-,-,89,110,25,-,-,25,100,-,-,100,125,11,-,-,11,47,-,-,47,58,12,-,-,12,67,-,-,67,79,9,-,-,9,46,-,-,46,55,13,-,-,13,68,-,-,68,81,4,-,-,4,17,-,-,17,21,21,-,-,21,81,-,-,81,102,69,-,-,69,223,-,-,223,292,-,-,-,-,6,-,-,6,6,2,-,-,2,16,-,-,16,18,27,-,-,27,116,-,-,116,143,11,-,-,11,61,-,-,61,72,19,-,-,19,54,-,-,54,73,34,-,-,34,119,-,-,119,153,1,-,-,1,16,-,-,16,17,31,-,-,31,90,-,-,90,121,10,-,-,10,29,-,-,29,39,20,-,-,20,85,-,-,85,105,37,-,-,37,107,-,-,107,144,41,-,-,41,170,-,-,170,211,13,-,-,13,47,-,-,47,60,47,-,-,47,175,-,-,175,222,64,-,-,64,249,-,-,249,313,4,-,-,4,9,-,-,9,13,-,-,-,-,2,-,-,2,2,1,-,-,1,11,-,-,11,12,4174
(10 a 13),4,-,-,4,19,-,-,19,23,86,-,-,86,637,-,-,637,723,8,-,-,8,87,-,-,87,95,-,-,-,-,9,-,-,9,9,31,-,-,31,267,-,-,267,298,117,-,-,117,1138,-,-,1138,1255,18,-,-,18,241,-,-,241,259,10,-,-,10,146,-,-,146,156,16,-,-,16,124,-,-,124,140,10,-,-,10,133,-,-,133,143,12,-,-,12,118,-,-,118,130,9,-,-,9,99,-,-,99,108,13,-,-,13,163,-,-,163,176,2,-,-,2,41,-,-,41,43,17,-,-,17,226,-,-,226,243,59,-,-,59,475,-,-,475,534,-,-,-,-,19,-,-,19,19,2,-,-,2,28,-,-,28,30,24,-,-,24,205,-,-,205,229,8,-,-,8,128,-,-,128,136,14,-,-,14,153,-,-,153,167,28,-,-,28,246,-,-,246,274,1,-,-,1,19,-,-,19,20,24,-,-,24,175,-,-,175,199,3,-,-,3,71,-,-,71,74,20,-,-,20,124,-,-,124,144,27,-,-,27,209,-,-,209,236,26,-,-,26,327,-,-,327,353,11,-,-,11,120,-,-,120,131,35,-,-,35,378,-,-,378,413,56,-,-,56,433,-,-,433,489,-,-,-,-,15,-,-,15,15,-,-,-,-,7,-,-,7,7,-,-,-,-,31,-,-,31,31,7302
